Length,Generation
3491.5978643716007, 223
3491.5978643716007, 224
3491.5978643716007, 225
3491.5978643716007, 226
3491.5978643716007, 227
3491.5978643716007, 228
3491.5978643716007, 229
3491.5978643716007, 230
3491.5978643716007, 231
3491.5978643716007, 232
3491.5978643716007, 233
3491.5978643716007, 234
3491.5978643716007, 235
3491.5978643716007, 236
3491.5978643716007, 237
3491.5978643716007, 238
3491.5978643716007, 239
3491.5978643716007, 240
3491.5978643716007, 241
3491.5978643716007, 242
3491.5978643716007, 243
3491.5978643716007, 244
3491.5978643716007, 245
3491.5978643716007, 246
3491.5978643716007, 247
3491.5978643716007, 248
3491.5978643716007, 249
3491.5978643716007, 250
3491.5978643716007, 251
3491.5978643716007, 252
3491.5978643716007, 253
3491.5978643716007, 254
3491.5978643716007, 255
3491.5978643716007, 256
3491.5978643716007, 257
3491.5978643716007, 258
3491.5978643716007, 259
3491.5978643716007, 260
3491.5978643716007, 261
3491.5978643716007, 262
3491.5978643716007, 263
3491.5978643716007, 264
3491.5978643716007, 265
3491.5978643716007, 266
3491.5978643716007, 267
3491.5978643716007, 268
3491.5978643716007, 269
3491.5978643716007, 270
3491.5978643716007, 271
3491.5978643716007, 272
3491.5978643716007, 273
3491.5978643716007, 274
3491.5978643716007, 275
3491.5978643716007, 276
3491.5978643716007, 277
3491.5978643716007, 278
3491.5978643716007, 279
3491.5978643716007, 280
3491.5978643716007, 281
3491.5978643716007, 282
3491.5978643716007, 283
3491.5978643716007, 284
3491.5978643716007, 285
3491.5978643716007, 286
3491.5978643716007, 287
3491.5978643716007, 288
3491.5978643716007, 289
3491.5978643716007, 290
3491.5978643716007, 291
3491.5978643716007, 292
3491.5978643716007, 293
3491.5978643716007, 294
3491.5978643716007, 295
3491.5978643716007, 296
3491.5978643716007, 297
3491.5978643716007, 298
3491.5978643716007, 299
3491.5978643716007, 300
3491.5978643716007, 301
3491.5978643716007, 302
3491.5978643716007, 303
3491.5978643716007, 304
3491.5978643716007, 305
3491.5978643716007, 306
3491.5978643716007, 307
3491.5978643716007, 308
3491.5978643716007, 309
3412.3085083984056, 310
3412.3085083984056, 311
3412.3085083984056, 312
3412.3085083984056, 313
3412.3085083984056, 314
3412.3085083984056, 315
3412.3085083984056, 316
3412.3085083984056, 317
3412.3085083984056, 318
3412.3085083984056, 319
3412.3085083984056, 320
3412.3085083984056, 321
3412.3085083984056, 322
3412.3085083984056, 323
3412.3085083984056, 324
3412.3085083984056, 325
3412.3085083984056, 326
3412.3085083984056, 327
3412.3085083984056, 328
3412.3085083984056, 329
3412.3085083984056, 330
3412.3085083984056, 331
3412.3085083984056, 332
3412.3085083984056, 333
3412.3085083984056, 334
3412.3085083984056, 335
3412.3085083984056, 336
3412.3085083984056, 337
3412.3085083984056, 338
3412.3085083984056, 339
3412.3085083984056, 340
3412.3085083984056, 341
3412.3085083984056, 342
3412.3085083984056, 343
3412.3085083984056, 344
3412.3085083984056, 345
3412.3085083984056, 346
3412.3085083984056, 347
3412.3085083984056, 348
3412.3085083984056, 349
3412.3085083984056, 350
3412.3085083984056, 351
3412.3085083984056, 352
3412.3085083984056, 353
3412.3085083984056, 354
3412.3085083984056, 355
