Length,Generation
4825.767604322287, 1850
4825.767604322287, 1858
4825.767604322287, 1866
4825.767604322287, 1874
4825.767604322287, 1876
4825.767604322287, 1887
4825.767604322287, 1888
4825.767604322287, 1894
4825.767604322287, 1895
4825.767604322287, 1897
4825.767604322287, 1898
4825.767604322287, 1901
4825.767604322287, 1907
4825.767604322287, 1908
4825.767604322287, 1918
4825.767604322287, 1922
4825.767604322287, 1925
4825.767604322287, 1926
4825.767604322287, 1938
4825.767604322287, 1945
4825.767604322287, 1946
4825.767604322287, 1949
4825.767604322287, 1957
4825.767604322287, 1963
4825.767604322287, 1966
4825.767604322287, 1969
4825.767604322287, 1976
4825.767604322287, 1990
4825.767604322287, 1992
4825.767604322287, 1995
4825.767604322287, 1997
4825.767604322287, 2004
4825.767604322287, 2007
